Title:  Rogue Performances: A Review of Abigail De
					Kosnik’s 
Volume:  014
Issue:  1
Date:  20 March 2020
Abstract:  
				In Rogue Archives: Digital Cultural Memory and Media
						Fandom  (2016), Abigail de Kosnik establishes the idea of
						rogue archives as easily available, copyright-agnostic,
					and amateur-run digital archives that preserve non-traditional material.
					More than just a concept, De Kosnik’s interdisciplinary and wide-ranging
						rogue archives are used as a framework to understand
					shifts in media, internet culture, and as sites of individual and community
					social media performances. This review, which was originally livetweeted,
					also considers its own performance, situating Twitter reviews as a
					continuation of eighteenth-century book culture.
				This review was originally livetweeted. You can read the original threads
					here: https://twitter.com/historyofporn/status/1107292610597515266
					and here: https://twitter.com/HistoryOfPorn/status/1107388760868704257
			
Full Body Text: 
When I began reading Abigail De Kosnik’s Rogue Archives:
					Digital Cultural Memory and Media Fandom (MIT Press, 2016) with a
				professional eye, I was struck by the number of ways that it connected and
				resonated with my personal life and practice. Although I work at the Kinsey
				Institute Library and Special Collection as a graduate archivist and I am
				receiving the benefits of a traditional archival education, I have also been
				involved in independent and community archives for a number of years.
				Particularly, I have been working to preserve the communities and materials of
				marginalized groups from the generalized decay of the internet. Rogue Archives then, was a self-discovery. It also
				became an exploration: this book review was originally livetweeted as part of a
				year-long experiment to engage with authors and their communities while reading
				their work. As a result, this journal review will conclude with some thoughts on
				what the experience of a performative livetweet remix of an academic work
				is like for both the reviewer and the reviewed.
Beginning in a way that is now almost traditional for archival studies, De Kosnik
				proclaims that memory has gone rogue ... memory has
						fallen into the hands of rogues. From the late nineteenth
					through the late twentieth century, memory — not private, individual
					memory, but public, collective memory — was the domain of the state
				. Her work, she declares, is not about
				outdated and possibly moribund analog archives, but about a new type of digital
				archive that she sees as avant-garde, a precursor of what is to come across all
				of the humanities. Although archival scholars might take exception at some of
				her characterizations, De Kosnik is deliberately setting her rogue
				archives in definitional opposition to traditional ones — and also
				drawing heavily on media studies criticism.
The difference between traditional and rogue archives,
				is sometimes hard to express as is witnessed by De Kosnik’s varying definitional
				approaches and levels of emphasis on one or more aspects throughout. Although
				another reader might complain about this drift, my feeling is that the subjects
				of the book are difficult to define and are sometimes deliberately
				boundary-challenging and queering. Regardless, the traits of rogue archives that
				are the most persistent from chapter to chapter are that they are: (1) largely
				run by people that do not have training or expertise in library and information
				studies, but dub themselves archivists; (2) available 24 hours a day, seven days
				a week to anyone with an internet connection; (3) nominally barrier-less to
				access; (4) ignorant, purposefully-ignorant, or maliciously ignorant of
				copyright laws and restrictions; (5) homes for “content that has never been, and
				would never likely be, contained in a traditional memory institution;” (6) home
				as well to people that have never been or would never likely be traditional; (7)
				identity-and culture-generating; and (8) achrontic and intertextual sites of
				identity and community performance, inspiration, reaffirmation, and repertoire
					. I
				will explore these traits further below.
There are a number of quibbles that can be taken with individual aspects of this
				definition. For example, one could argue that figures such as Henry Spencer
				Ashbee, the Victorian businessman-bibliophile who maintained an apartment in
				London filled with erotica and pornography and provided 24/7 access to select
				people, meets at least a few of the aspects of a rogue archive.
				However, it would not be possible for any physical archive to meet
				all of the requirements to become a De Kosnikian rogue archive.
				That, I would argue, points us to one of the most essential features of rogue
				archives: they must be digital. Copyright also emerges as a central
